Name,Category,Quadrant,Ring,Description,Created,Created By,Modified,Modified By
"NestJS","[""Backend""]","Languages & Frameworks","Adopt","NestJS is a TypeScript-based Node.js framework that leverages object-oriented and functional programming principles to provide a robust architecture for building efficient and scalable server-side applications.","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 9:53 AM","CIURLIK, Yohann"
"Domain Driven Design (DDD)","[""Architecture""]","Methods & Patterns","Adopt","Domain Driven Design is an approach to software development that focuses on understanding and modeling the business domain. It emphasizes collaboration between technical and domain experts to create a shared understanding of the problem domain and to design software that reflects that understanding.","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 5:56 AM","CIURLIK, Yohann"
"NodeJS","[""Backend""]","Languages & Frameworks","Adopt","Node.js is an open-source, server-side JavaScript runtime environment built on Chrome's V8 JavaScript engine. It allows developers to build scalable and high-performance network applications using JavaScript as both the frontend and backend language.","1/26/2024 6:50 AM","LEMEE, Paul","4/19/2024 9:53 AM","CIURLIK, Yohann"
"ExpressJS","[""Backend""]","Languages & Frameworks","Adopt","Express.js is a minimal and flexible Node.js web application framework that provides a robust set of features for building web and mobile applications. It is designed for building single-page, multi-page, and hybrid web applications.","1/26/2024 7:12 AM","LEMEE, Paul","4/19/2024 9:53 AM","CIURLIK, Yohann"
"Javascript","[""Frontend"",""Backend"",""Coding""]","Languages & Frameworks","Adopt","JavaScript is a high-level, interpreted programming language that is commonly used to create interactive and dynamic websites. It is supported by all modern web browsers and allows developers to add interactivity and behavior to web pages.","1/26/2024 7:14 AM","LEMEE, Paul","4/19/2024 9:53 AM","CIURLIK, Yohann"
"Typescript","[""Coding"",""Frontend"",""Backend""]","Languages & Frameworks","Adopt","TypeScript is a statically typed superset of JavaScript that compiles to plain JavaScript. It adds optional static types, classes, interfaces, and other features to help developers build large-scale JavaScript applications more maintainable and scalable.","1/26/2024 7:15 AM","LEMEE, Paul","4/19/2024 9:53 AM","CIURLIK, Yohann"
"PostgreSQL","[""Database""]","Tools","Adopt","PostgreSQL is a powerful open-source relational database management system (RDBMS) known for its reliability, robustness, and advanced features. It supports SQL querying, ACID transactions, and a wide range of data types and indexing techniques.","1/26/2024 7:15 AM","LEMEE, Paul","2/15/2024 8:27 AM","CIURLIK, Yohann"
"Redis","[""Database""]","Tools","Adopt","Redis is an open-source, in-memory data structure store used as a database, cache, and message broker. It supports various data structures such as strings, lists, sets, hashes, and more, and is known for its high performance and versatility.","1/26/2024 7:15 AM","LEMEE, Paul","2/15/2024 8:27 AM","CIURLIK, Yohann"
"React Native","[""Mobile""]","Languages & Frameworks","Adopt","React Native is an open-source framework for building native mobile applications using JavaScript and React. It allows developers to write code once and deploy it across multiple platforms, including iOS and Android, while maintaining a native look and feel.","1/26/2024 7:16 AM","LEMEE, Paul","4/19/2024 10:22 AM","CIURLIK, Yohann"
"Flutter","[""Mobile""]","Languages & Frameworks","Adopt","Flutter is an open-source UI software development kit (SDK) created by Google for building natively compiled applications for mobile, web, and desktop from a single codebase. It uses the Dart programming language and offers a rich set of pre-built widgets for building beautiful user interfaces.","1/26/2024 7:16 AM","LEMEE, Paul","4/19/2024 9:53 AM","CIURLIK, Yohann"
"Functional programming","[""Architecture""]","Methods & Patterns","Adopt","Functional Programming (FP) is a programming paradigm that focuses on using pure functions, immutable data, and higher-order functions to build robust, scalable, and maintainable software. It emphasizes a declarative style of programming and avoids side effects, promoting clarity, predictability, and composability in code.","1/26/2024 7:18 AM","LEMEE, Paul","4/19/2024 5:56 AM","CIURLIK, Yohann"
"CMS Headless","[""Experience""]","Tools","Adopt","A Headless Content Management System (CMS) is a backend-only content management system where the content repository is separated from the presentation layer. It allows developers to retrieve content via APIs and display it on various front-end platforms.","1/26/2024 7:22 AM","LEMEE, Paul","4/19/2024 5:57 AM","CIURLIK, Yohann"
"BFF (Backends For Frontends)","[""Architecture""]","Methods & Patterns","Adopt","BFF refers to the practice of creating specialized backend services for specific frontend clients or interfaces. It allows developers to tailor backend logic and data retrieval to the unique requirements of each frontend application or device.","1/26/2024 7:27 AM","LEMEE, Paul","4/19/2024 5:57 AM","CIURLIK, Yohann"
"CDN (Content Delivery Network)","[""Cloud""]","Platforms & Operations","Adopt","A Content Delivery Network is a geographically distributed network of servers that work together to provide fast delivery of internet content. CDNs help improve website performance by caching content closer to the user's location, reducing latency, and offloading origin server traffic.","1/26/2024 7:28 AM","LEMEE, Paul","4/19/2024 5:57 AM","CIURLIK, Yohann"
"JQuery","[""Frontend""]","Languages & Frameworks","Hold","jQuery is a fast, small, and feature-rich JavaScript library. It simplifies various tasks like HTML document traversing, event handling, animating, and Ajax interactions for rapid web development.","1/26/2024 7:39 AM","LEMEE, Paul","4/19/2024 9:53 AM","CIURLIK, Yohann"
"Storybook","[""Frontend""]","Tools","Adopt","Storybook is an open-source tool for developing UI components in isolation for React, Vue, Angular, and other modern web frameworks. It allows developers to build, document, and test individual components independently of the application.","1/26/2024 7:41 AM","LEMEE, Paul","2/15/2024 8:29 AM","CIURLIK, Yohann"
"Design system","[""Frontend""]","Methods & Patterns","Adopt","A design system is a collection of reusable components, styles, and guidelines that ensure consistency and coherence across digital products. It helps teams build scalable and cohesive user interfaces.","1/26/2024 7:41 AM","LEMEE, Paul","4/19/2024 5:57 AM","CIURLIK, Yohann"
"GraphQL","[""Backend"",""Experience""]","Methods & Patterns","Adopt","GraphQL is a query language for APIs and a runtime for executing those queries. It enables clients to request only the data they need from the server and provides a single endpoint for fetching data, leading to more efficient and flexible API interactions.","1/26/2024 7:44 AM","LEMEE, Paul","4/19/2024 5:57 AM","CIURLIK, Yohann"
"REST","[""Backend"",""Experience""]","Methods & Patterns","Adopt","Representational State Transfer (REST) is an architectural style for designing networked applications. It uses standard HTTP methods like GET, POST, PUT, DELETE to perform CRUD (Create, Read, Update, Delete) operations on resources, promoting scalability and interoperability.","1/26/2024 7:44 AM","LEMEE, Paul","4/19/2024 5:57 AM","CIURLIK, Yohann"
"Wordpress","[""Backend"",""Experience""]","Tools","Hold","WordPress is an open-source content management system (CMS) written in PHP. It's widely used for creating websites, blogs, and online stores due to its flexibility, ease of use, and extensive plugin ecosystem.","1/26/2024 7:45 AM","LEMEE, Paul","4/19/2024 5:52 AM","CIURLIK, Yohann"
"Microfrontends","[""Frontend""]","Methods & Patterns","Adopt","Microfrontends is an architectural pattern where a frontend application is composed of multiple smaller, independent applications, each responsible for a specific feature or functionality. It enables teams to develop, deploy, and scale frontend components independently.","1/26/2024 7:46 AM","LEMEE, Paul","4/19/2024 5:57 AM","CIURLIK, Yohann"
"Drupal","[""Backend"",""Experience""]","Tools","Adopt","Drupal is an open-source content management framework written in PHP. It's used to build various types of websites and web applications, including blogs, forums, e-commerce sites, and intranets, with its modular architecture and flexibility.","1/26/2024 8:03 AM","LEMEE, Paul","4/19/2024 5:53 AM","CIURLIK, Yohann"
"Fastify","[""Backend""]","Languages & Frameworks","Adopt","Fastify is a web framework for Node.js focused on providing an efficient and low-overhead server for building web applications and APIs. It's known for its high performance, low overhead, and extensibility through plugins.","2/2/2024 9:08 AM","LEMEE, Paul","4/19/2024 9:53 AM","CIURLIK, Yohann"
"Bun","[""Coding""]","Languages & Frameworks","Trial","Bun is a modern JavaScript runtime built on top of V8, the same engine that powers Google Chrome. It's designed to be lightweight, fast, and efficient, providing a platform for running JavaScript applications in server-side environments.","2/2/2024 9:08 AM","LEMEE, Paul","4/19/2024 9:54 AM","CIURLIK, Yohann"
"Microservices","[""Architecture""]","Methods & Patterns","Adopt","Microservices is an architectural style that structures an application as a collection of loosely coupled services, each responsible for a specific business capability. These services are independently deployable, scalable, and maintainable, and communicate with each other via APIs or messaging protocols.","2/2/2024 9:48 AM","LEMEE, Paul","4/19/2024 5:57 AM","CIURLIK, Yohann"
"Kubernetes","[""DevSecOps""]","Tools","Adopt","Kubernetes is an open-source container orchestration platform that automates the deployment, scaling, and management of containerized applications. It provides features for container scheduling, service discovery, scaling, and monitoring, making it well-suited for managing microservices architectures.","2/2/2024 9:50 AM","LEMEE, Paul","2/15/2024 8:31 AM","CIURLIK, Yohann"
"Docker","[""DevSecOps""]","Tools","Adopt","Docker is a platform for developing, shipping, and running applications using containerization technology. It allows developers to package applications and their dependencies into lightweight, portable containers that can run consistently across different environments.","2/2/2024 9:50 AM","LEMEE, Paul","2/15/2024 8:31 AM","CIURLIK, Yohann"
"Message Brokers","[""Architecture""]","Platforms & Operations","Adopt","Software platforms that facilitate communication between disparate systems, enabling asynchronous messaging and decoupling of components in distributed architectures.","2/2/2024 9:57 AM","LEMEE, Paul","4/19/2024 6:02 AM","CIURLIK, Yohann"
"API Gateways","[""Backend"",""Architecture""]","Platforms & Operations","Adopt","Middleware solutions that manage, secure, and optimize API traffic between clients and backend services, offering features like authentication, rate limiting, and logging.","2/2/2024 10:03 AM","LEMEE, Paul","4/19/2024 6:02 AM","CIURLIK, Yohann"
"Java","[""Backend""]","Languages & Frameworks","Adopt","A widely-used, high-level programming language known for its portability, strong community support, and extensive ecosystem of libraries and frameworks.","2/2/2024 10:03 AM","LEMEE, Paul","4/19/2024 9:54 AM","CIURLIK, Yohann"
"PHP","[""Frontend"",""Backend""]","Languages & Frameworks","Adopt","A server-side scripting language primarily used for web development, valued for its simplicity, flexibility, and integration with web servers.","2/2/2024 10:03 AM","LEMEE, Paul","4/19/2024 9:54 AM","CIURLIK, Yohann"
"Kafka","[""Architecture"",""Experience""]","Platforms & Operations","Adopt","A distributed streaming platform designed for building real-time data pipelines and streaming applications, prized for its scalability, fault tolerance, and low latency.","2/2/2024 10:04 AM","LEMEE, Paul","4/19/2024 6:03 AM","CIURLIK, Yohann"
"RabbitMQ","[""Architecture"",""Experience""]","Platforms & Operations","Adopt","An open-source message broker software implementing the Advanced Message Queuing Protocol (AMQP), offering robust messaging capabilities for applications.","2/2/2024 10:04 AM","LEMEE, Paul","4/19/2024 6:03 AM","CIURLIK, Yohann"
"Kong","[""Backend"",""Experience""]","Platforms & Operations","Adopt","An open-source API gateway and microservices management layer, providing features like authentication, rate limiting, and traffic logging, often used in microservices architectures.","2/2/2024 10:04 AM","LEMEE, Paul","4/19/2024 6:03 AM","CIURLIK, Yohann"
"Elastic Search","[""Database""]","Platforms & Operations","Adopt","A distributed, RESTful search and analytics engine designed for horizontal scalability and real-time search, commonly used for log analytics, full-text search, and business intelligence.","2/2/2024 10:04 AM","LEMEE, Paul","4/19/2024 6:03 AM","CIURLIK, Yohann"
"CosmosDB","[""Database""]","Platforms & Operations","Adopt","Microsoft's globally distributed, multi-model database service offering NoSQL capabilities like document, key-value, graph, and column-family data storage.","2/2/2024 10:05 AM","LEMEE, Paul","4/19/2024 6:03 AM","CIURLIK, Yohann"
"AWS RDS","[""Database""]","Platforms & Operations","Adopt","Amazon Web Services' managed relational database service, offering scalable, cost-efficient database solutions for various database engines like MySQL, PostgreSQL, and SQL Server.","2/2/2024 10:05 AM","LEMEE, Paul","4/19/2024 6:03 AM","CIURLIK, Yohann"
